"fecha_hecho","cod_depto","departamento","cod_muni","municipio","zona","cantidad"
"2013-03-08T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","RURAL","1"
"2013-03-20T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-04-09T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-05-07T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-05-13T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-05-14T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","2"
"2013-05-14T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-05-17T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-05-27T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-06-01T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-06-03T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-06-04T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-06-05T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-06-06T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-06-16T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-06-19T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-06-20T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-06-22T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-06-23T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-07-01T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-07-03T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-07-08T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-07-13T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-07-29T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-08-18T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-08-21T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-08-30T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","2"
"2013-09-02T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-09-14T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","RURAL","1"
"2013-09-20T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-09-22T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","2"
"2013-09-23T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-09-28T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","RURAL","1"
"2013-10-02T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-10-05T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","RURAL","1"
"2013-10-05T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-10-07T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-10-20T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-11-12T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-11-16T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-11-17T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2014-01-01T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2014-01-10T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2014-01-13T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2014-01-25T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2014-01-28T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2014-01-29T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2014-02-03T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2014-02-10T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2014-02-16T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","RURAL","1"
"2014-02-23T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","RURAL","1"
